1970,0.094
1971,-0.477
1972,0.1
1973,0.047
1974,0.574
1975,0.726
1976,1.848
1977,0.755
1978,0.361
1979,0.407
1980,0.151
1981,0.099
1982,-0.365
1983,0.198
1984,0.351
1985,0.116
1986,0.131
1987,0.439
1988,0.908
1989,0.326
1990,-0.464
